Platform,Trust,Share,Platform_FR,Trust_FR
Canadian healthcare providers,Low (1-3),10%,Prestataires canadiens de soins de la santé,Faible (1 à 3)
Canadian banks,Low (1-3),14%,Banques canadiennes,Faible (1 à 3)
Your municipal government,Low (1-3),17%,Votre administration municipale,Faible (1 à 3)
Your provincial government,Low (1-3),24%,Votre gouvernement provincial,Faible (1 à 3)
Federal government,Low (1-3),26%,Gouvernement fédéral,Faible (1 à 3)
Canadian telecommunication providers,Low (1-3),20%,Fournisseurs canadiens de télécommunications,Faible (1 à 3)
Canadian start-up businesses,Low (1-3),11%,Jeunes entreprises canadiennes,Faible (1 à 3)
Cryptocurrency exchanges,Low (1-3),51%,Bourses de crypto-monnaies,Faible (1 à 3)
Canadian healthcare providers,Medium (4-6),34%,Prestataires canadiens de soins de la santé,Moyen (4 à 6)
Canadian banks,Medium (4-6),38%,Banques canadiennes,Moyen (4 à 6)
Your municipal government,Medium (4-6),41%,Votre administration municipale,Moyen (4 à 6)
Your provincial government,Medium (4-6),39%,Votre gouvernement provincial,Moyen (4 à 6)
Federal government,Medium (4-6),37%,Gouvernement fédéral,Moyen (4 à 6)
Canadian telecommunication providers,Medium (4-6),47%,Fournisseurs canadiens de télécommunications,Moyen (4 à 6)
Canadian start-up businesses,Medium (4-6),45%,Jeunes entreprises canadiennes,Moyen (4 à 6)
Cryptocurrency exchanges,Medium (4-6),25%,Bourses de crypto-monnaies,Moyen (4 à 6)
Canadian healthcare providers,High (7-9),51%,Prestataires canadiens de soins de la santé,Haut (7 à 9)
Canadian banks,High (7-9),45%,Banques canadiennes,Haut (7 à 9)
Your municipal government,High (7-9),37%,Votre administration municipale,Haut (7 à 9)
Your provincial government,High (7-9),33%,Votre gouvernement provincial,Haut (7 à 9)
Federal government,High (7-9),33%,Gouvernement fédéral,Haut (7 à 9)
Canadian telecommunication providers,High (7-9),28%,Fournisseurs canadiens de télécommunications,Haut (7 à 9)
Canadian start-up businesses,High (7-9),21%,Jeunes entreprises canadiennes,Haut (7 à 9)
Cryptocurrency exchanges,High (7-9),8%,Bourses de crypto-monnaies,Haut (7 à 9)
Canadian healthcare providers,Don't know,5%,Prestataires canadiens de soins de la santé,Je ne sais pas
Canadian banks,Don't know,3%,Banques canadiennes,Je ne sais pas
Your municipal government,Don't know,5%,Votre administration municipale,Je ne sais pas
Your provincial government,Don't know,3%,Votre gouvernement provincial,Je ne sais pas
Federal government,Don't know,3%,Gouvernement fédéral,Je ne sais pas
Canadian telecommunication providers,Don't know,6%,Fournisseurs canadiens de télécommunications,Je ne sais pas
Canadian start-up businesses,Don't know,23%,Jeunes entreprises canadiennes,Je ne sais pas
Cryptocurrency exchanges,Don't know,17%,Bourses de crypto-monnaies,Je ne sais pas
