Source,Trust,Share,Source_FR,Trust_FR
Public library,Strongly trust,42%,Bibliothèque publique,Fortement confiance
Friends and family,Strongly trust,26%,Amis et famille,Fortement confiance
Your childâ€™s school,Strongly trust,25%,L’école de votre enfant,Fortement confiance
News media,Strongly trust,11%,Médias de l’information,Fortement confiance
The federal government,Strongly trust,10%,Le gouvernement fédéral,Fortement confiance
Your employer,Strongly trust,12%,Votre employeur,Fortement confiance
Other,Strongly trust,6%,Autres,Fortement confiance
Public library,Somewhat trust,47%,Bibliothèque publique,Un peu confiance
Friends and family,Somewhat trust,57%,Amis et famille,Un peu confiance
Your childâ€™s school,Somewhat trust,56%,L’école de votre enfant,Un peu confiance
News media,Somewhat trust,59%,Médias de l’information,Un peu confiance
The federal government,Somewhat trust,50%,Le gouvernement fédéral,Un peu confiance
Your employer,Somewhat trust,42%,Votre employeur,Un peu confiance
Other,Somewhat trust,7%,Autres,Un peu confiance
Public library,Don't trust,3%,Bibliothèque publique,Pas confiance
Friends and family,Don't trust,7%,Amis et famille,Pas confiance
Your childâ€™s school,Don't trust,11%,L’école de votre enfant,Pas confiance
News media,Don't trust,23%,Médias de l’information,Pas confiance
The federal government,Don't trust,31%,Le gouvernement fédéral,Pas confiance
Your employer,Don't trust,18%,Votre employeur,Pas confiance
Other,Don't trust,11%,Autres,Pas confiance
Public library,Don't know,8%,Bibliothèque publique,Je ne sais pas
Friends and family,Don't know,9%,Amis et famille,Je ne sais pas
Your childâ€™s school,Don't know,8%,L’école de votre enfant,Je ne sais pas
News media,Don't know,6%,Médias de l’information,Je ne sais pas
The federal government,Don't know,8%,Le gouvernement fédéral,Je ne sais pas
Your employer,Don't know,28%,Votre employeur,Je ne sais pas
Other,Don't know,76%,Autres,Je ne sais pas
